subject_id,age,understood,spoken,form,form_max_spoken,form_max_understood
ID_3E09A60FF429315A,41,252,55,Gestures and words,408,408
ID_3E09A60FF429315A,47,296,99,Gestures and words,408,408
ID_3E09A60FF429315A,53,,239,Words and sentences,670,
ID_34A9F162E1AE7C32,80,,425,Words and sentences,670,
ID_34A9F162E1AE7C32,86,,521,Words and sentences,670,
ID_34A9F162E1AE7C32,94,,654,Words and sentences,670,
ID_A3E53608C8E21578,26,178,9,Gestures and words,408,408
ID_A3E53608C8E21578,32,247,20,Gestures and words,408,408
ID_A3E53608C8E21578,39,329,99,Gestures and words,408,408
ID_A3E53608C8E21578,45,354,258,Gestures and words,408,408
ID_A3E53608C8E21578,50,,418,Words and sentences,670,
ID_A86E90228C6DDD2D,25,178,13,Gestures and words,408,408
ID_A86E90228C6DDD2D,32,286,13,Gestures and words,408,408
ID_A86E90228C6DDD2D,37,310,64,Gestures and words,408,408
ID_A86E90228C6DDD2D,44,333,132,Gestures and words,408,408
ID_A86E90228C6DDD2D,50,,316,Words and sentences,670,
ID_66A0CE64BB3FCECE,80,,654,Words and sentences,670,
ID_C5A61F98091D5CE2,66,,355,Words and sentences,670,
ID_C5A61F98091D5CE2,72,,360,Words and sentences,670,
ID_613FEDAE5F4F55AE,26,127,17,Gestures and words,408,408
ID_613FEDAE5F4F55AE,30,148,21,Gestures and words,408,408
ID_4003D9D8EC1780B9,51,,502,Words and sentences,670,
ID_4003D9D8EC1780B9,56,,534,Words and sentences,670,
ID_4003D9D8EC1780B9,62,,568,Words and sentences,670,
ID_70B62A9F441C88E9,36,284,24,Gestures and words,408,408
ID_70B62A9F441C88E9,43,370,64,Gestures and words,408,408
ID_70B62A9F441C88E9,48,,159,Words and sentences,670,
ID_70B62A9F441C88E9,55,,321,Words and sentences,670,
ID_6C3F81B667FF13A5,28,272,37,Gestures and words,408,408
ID_6C3F81B667FF13A5,34,359,273,Gestures and words,408,408
ID_6C3F81B667FF13A5,40,,468,Words and sentences,670,
ID_2B8AEA204C3D6364,18,175,9,Gestures and words,408,408
ID_2B8AEA204C3D6364,24,267,16,Gestures and words,408,408
ID_2B8AEA204C3D6364,30,304,24,Gestures and words,408,408
ID_2B8AEA204C3D6364,37,332,45,Gestures and words,408,408
ID_2B8AEA204C3D6364,42,335,59,Gestures and words,408,408
ID_760BCF27EBA0CAD7,24,139,0,Gestures and words,408,408
ID_760BCF27EBA0CAD7,30,194,2,Gestures and words,408,408
ID_81A3EF45E1106923,36,285,30,Gestures and words,408,408
ID_81A3EF45E1106923,43,357,208,Gestures and words,408,408
ID_81A3EF45E1106923,48,,328,Words and sentences,670,
ID_81A3EF45E1106923,55,,417,Words and sentences,670,
ID_81A3EF45E1106923,61,,486,Words and sentences,670,
ID_269C8C4DEB70125B,24,44,9,Gestures and words,408,408
ID_269C8C4DEB70125B,30,77,13,Gestures and words,408,408
ID_269C8C4DEB70125B,36,107,19,Gestures and words,408,408
ID_269C8C4DEB70125B,43,130,23,Gestures and words,408,408
ID_269C8C4DEB70125B,49,188,43,Gestures and words,408,408
ID_F840DF13373812ED,37,351,13,Gestures and words,408,408
ID_F840DF13373812ED,43,356,27,Gestures and words,408,408
ID_F840DF13373812ED,48,361,138,Gestures and words,408,408
ID_F840DF13373812ED,55,373,223,Gestures and words,408,408
ID_F840DF13373812ED,61,,260,Words and sentences,670,
ID_4158105E2AE56017,51,,390,Words and sentences,670,
ID_4158105E2AE56017,57,,435,Words and sentences,670,
ID_4158105E2AE56017,63,,481,Words and sentences,670,
ID_B0724FFC8DF8B7BB,37,279,2,Gestures and words,408,408
ID_B0724FFC8DF8B7BB,43,309,2,Gestures and words,408,408
ID_B0724FFC8DF8B7BB,49,347,4,Gestures and words,408,408
ID_6944CFB53D04803C,27,168,28,Gestures and words,408,408
ID_6944CFB53D04803C,31,256,39,Gestures and words,408,408
ID_F6CCFA804FBEDB0F,24,75,6,Gestures and words,408,408
ID_F6CCFA804FBEDB0F,30,179,20,Gestures and words,408,408
ID_F6CCFA804FBEDB0F,36,209,35,Gestures and words,408,408
ID_F6CCFA804FBEDB0F,43,298,72,Gestures and words,408,408
ID_F6CCFA804FBEDB0F,48,,210,Words and sentences,670,
ID_B4161F9DB872D49A,25,60,7,Gestures and words,408,408
ID_CB48C3A85F632F48,59,58,373,Gestures and words,408,408
ID_CB48C3A85F632F48,65,408,398,Gestures and words,408,408
ID_3415AE99E440B07D,46,65,20,Gestures and words,408,408
ID_3415AE99E440B07D,52,88,24,Gestures and words,408,408
ID_3415AE99E440B07D,58,230,45,Gestures and words,408,408
ID_243517CBDB74B6C9,38,265,192,Gestures and words,408,408
ID_E1DC6FAB4CE55201,25,213,4,Gestures and words,408,408
ID_E1DC6FAB4CE55201,30,241,4,Gestures and words,408,408
ID_E1DC6FAB4CE55201,37,273,9,Gestures and words,408,408
ID_E1DC6FAB4CE55201,42,290,14,Gestures and words,408,408
ID_E1DC6FAB4CE55201,48,294,23,Gestures and words,408,408
ID_71D65D8C47DA29D8,26,134,8,Gestures and words,408,408
ID_71D65D8C47DA29D8,32,217,18,Gestures and words,408,408
ID_71D65D8C47DA29D8,38,241,39,Gestures and words,408,408
ID_71D65D8C47DA29D8,45,272,75,Gestures and words,408,408
ID_71D65D8C47DA29D8,50,300,186,Gestures and words,408,408
ID_57AD06807A1B1E1C,44,303,108,Gestures and words,408,408
ID_57AD06807A1B1E1C,49,333,261,Gestures and words,408,408
ID_57AD06807A1B1E1C,56,,316,Words and sentences,670,
ID_57AD06807A1B1E1C,62,,484,Words and sentences,670,
ID_57AD06807A1B1E1C,68,,540,Words and sentences,670,
ID_44292D57D607371E,25,265,9,Gestures and words,408,408
ID_44292D57D607371E,32,350,9,Gestures and words,408,408
ID_44292D57D607371E,37,364,17,Gestures and words,408,408
ID_44292D57D607371E,44,,120,Words and sentences,670,
ID_44292D57D607371E,50,,135,Words and sentences,670,
ID_C2BFACDCD4BE3311,61,,474,Words and sentences,670,
ID_C2BFACDCD4BE3311,67,,519,Words and sentences,670,
