subject_id,age,not_spoken_or_signed,signed,spoken_signed,spoken
ID_05281C56FCA1C737,36,555,86,14,20
ID_05281C56FCA1C737,42,485,107,42,41
ID_05281C56FCA1C737,54,419,17,90,149
ID_05281C56FCA1C737,60,453,13,58,151
ID_05281C56FCA1C737,66,425,13,25,212
ID_064802F154BBA412,48,341,35,161,138
ID_064802F154BBA412,54,325,6,152,192
ID_064802F154BBA412,60,230,4,171,270
ID_0EF4779681383EDA,30,570,93,10,2
ID_0EF4779681383EDA,36,507,139,20,9
ID_0EF4779681383EDA,42,440,193,39,3
ID_0EF4779681383EDA,48,472,131,67,5
ID_176F45D5AE11A5BD,66,448,26,83,118
ID_1A030298079ABC00,42,360,10,56,249
ID_1A030298079ABC00,48,305,3,66,301
ID_1A030298079ABC00,54,295,5,1,374
ID_1A030298079ABC00,60,209,0,0,466
ID_1A030298079ABC00,66,195,0,0,480
ID_1C5C1F120C0B7EDB,48,431,0,58,186
ID_1C5C1F120C0B7EDB,54,498,1,33,143
ID_1C5C1F120C0B7EDB,60,341,0,19,315
ID_1C5C1F120C0B7EDB,66,266,0,4,405
ID_2CEA0C5CB1CBC0F2,36,580,76,8,11
ID_2CEA0C5CB1CBC0F2,42,513,121,32,9
ID_3568D317BAB6F115,30,603,58,4,10
ID_3568D317BAB6F115,36,540,85,24,26
ID_3568D317BAB6F115,42,534,47,51,43
ID_3568D317BAB6F115,48,428,34,76,137
ID_3568D317BAB6F115,54,365,2,70,238
ID_3568D317BAB6F115,60,248,0,63,364
ID_3568D317BAB6F115,66,203,1,21,450
ID_3F1963D1914DD359,48,596,69,5,5
ID_3F1963D1914DD359,54,585,75,3,12
ID_3F1963D1914DD359,60,563,92,9,11
ID_417DBC93DB12D599,36,625,23,6,21
ID_417DBC93DB12D599,42,608,10,18,39
ID_417DBC93DB12D599,54,530,5,13,127
ID_417DBC93DB12D599,60,465,7,55,148
ID_4459E8F1F4936416,60,650,9,5,11
ID_4459E8F1F4936416,66,619,22,24,10
ID_5098D9CC60AC2F61,30,651,16,6,2
ID_5098D9CC60AC2F61,42,577,35,26,37
ID_5E34B19C8B229672,42,526,21,42,86
ID_5E34B19C8B229672,48,530,15,19,111
ID_5E34B19C8B229672,54,444,19,12,200
ID_5E34B19C8B229672,60,464,5,14,192
ID_6442329DFF9ED65D,30,647,24,1,3
ID_6442329DFF9ED65D,42,640,18,6,11
ID_6442329DFF9ED65D,48,549,57,34,35
ID_6442329DFF9ED65D,54,544,24,11,96
ID_6442329DFF9ED65D,60,470,3,29,173
ID_75D38EB10779B9ED,54,427,0,2,246
ID_75D38EB10779B9ED,60,336,0,2,337
ID_860AFD83F4D41268,30,669,6,0,0
ID_860AFD83F4D41268,36,617,58,0,0
ID_860AFD83F4D41268,42,537,138,0,0
ID_860AFD83F4D41268,54,525,144,4,2
ID_8B425BB04E193070,48,578,0,7,90
ID_8C31CDEE2F7F0533,48,583,20,31,41
ID_8C31CDEE2F7F0533,54,428,6,37,204
ID_8C31CDEE2F7F0533,60,352,0,0,323
ID_91FCF94C2869ACAA,48,586,1,34,54
ID_91FCF94C2869ACAA,54,545,0,29,101
ID_93BD8059F2FDB8C5,42,647,1,0,27
ID_93BD8059F2FDB8C5,48,647,0,1,27
ID_93BD8059F2FDB8C5,54,635,0,2,38
ID_93BD8059F2FDB8C5,60,622,0,0,53
ID_93BD8059F2FDB8C5,66,626,0,1,48
ID_988F6DBFD8115FA5,36,594,65,11,5
ID_99A7C9D88EF078C1,36,562,13,53,47
ID_99A7C9D88EF078C1,42,527,9,4,135
ID_99A7C9D88EF078C1,48,420,0,4,251
ID_99A7C9D88EF078C1,54,395,0,5,275
ID_A2D43D491EAD7A7E,36,565,89,14,7
ID_AD10A477059208C0,60,550,76,5,44
ID_AD10A477059208C0,66,540,90,10,35
ID_B2BAD831F43170B4,42,639,18,6,12
ID_B73459237ECE792E,42,528,49,87,11
ID_B73459237ECE792E,48,506,47,90,32
ID_B73459237ECE792E,54,460,28,85,102
ID_B73459237ECE792E,60,495,37,97,46
ID_B73459237ECE792E,66,444,14,114,103
ID_BE10BC4490425E43,36,629,42,3,1
ID_BE10BC4490425E43,42,600,41,20,14
ID_C6463D20D95B5E4E,36,601,40,24,10
ID_C6463D20D95B5E4E,42,598,21,32,24
ID_C6463D20D95B5E4E,48,563,48,51,13
ID_C6463D20D95B5E4E,54,545,40,63,27
ID_C6463D20D95B5E4E,60,523,29,67,56
ID_C6463D20D95B5E4E,66,520,22,76,57
ID_C64DB31E64E8BE09,36,528,118,28,1
ID_C64DB31E64E8BE09,42,504,145,24,2
ID_C64DB31E64E8BE09,48,466,149,57,3
ID_C64DB31E64E8BE09,54,435,147,83,10
ID_C64DB31E64E8BE09,60,379,141,122,33
ID_C64DB31E64E8BE09,66,291,51,128,205
ID_D6DB4D70C8EA5715,30,655,12,3,5
ID_D6DB4D70C8EA5715,36,608,21,25,21
ID_D6DB4D70C8EA5715,42,504,8,44,119
ID_D6DB4D70C8EA5715,48,380,0,21,274
ID_DAF95AB3B1AF9719,42,577,13,51,34
ID_DAF95AB3B1AF9719,48,536,15,52,72
ID_DAF95AB3B1AF9719,54,523,5,34,113
ID_DAF95AB3B1AF9719,60,479,1,28,167
ID_DAF95AB3B1AF9719,66,438,1,17,219
ID_FA5878C562C8AFBD,36,550,122,3,0
ID_FA5878C562C8AFBD,42,482,174,11,8
ID_FA5878C562C8AFBD,48,481,184,10,0
ID_FAF0530FEC7422AD,48,619,54,2,0
ID_FAF0530FEC7422AD,54,619,56,0,0
ID_FAF0530FEC7422AD,60,612,62,0,1
