subject_id,survey,age,sex,noun1c,noun1v,noun1s,noun2c,noun2v,noun2s,noun3c,noun3v,noun3s,noun4c,noun4v,noun4s,noun5c,noun5v,noun5s,noun6c,noun6v,noun6s,noun7c,noun7v,noun7s,noun8c,noun8v,noun8s,noun9c,noun9v,noun9s,noun10c,noun10v,noun10s,tnoun10,noun11v,noun11s,tnoun11,noun12c,noun12v,noun12s,tnoun12,noun13c,noun13v,noun13s,tnoun13,verb14c,verbs14v,verbs14s,tverb14,adjec15c,adject15,adjec15s,tadjec15,noun16c,noun16v,noun16s,tnoun16,pron17c,pron17v,pron17s,tpron17,quest18c,quest18v,quest18s,tquest18,prep19c,prep19v,prep19s,tprep19,quant20c,quant20v,quant20s,tquant20,verb21v,verb21s,tverb21,conn22v,conn22s,tconn22,inounv,inouns,tinoun,iverbv,iverbs,tiverb,onoun,overb,complex,sent,survey_vocab_max,spoken,signed,understood,understood_imputed,produced
ID_DED3B6E2F475B396,WS,,F,,10,0,,25,0,,10,0,,20,0,,12,0,,22,0,,18,0,,11,0,,11,0,,6,0,6,11,0,11,,11,0,11,,36,0,36,,21,0,21,,1,0,1,,1,0,1,0,0,0,0,,6,0,6,,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,5,690,235,0,,235,235
ID_5503D088042B7471,WG,15,M,2,2,0,4,0,0,2,0,0,2,0,0,3,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,,0,0,,2,0,0,2,8,0,0,8,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,,,0,,,,,,,,,,,396,2,0,32,32,2
ID_713424C7CAFFF4A3,WG,15,M,,5,0,9,0,0,1,0,0,6,0,0,5,0,0,6,0,0,6,0,0,11,0,0,9,0,0,4,0,0,,0,0,,6,0,0,6,14,0,0,14,12,0,0,12,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,396,5,0,,5,5
ID_701FDDB46C7C2B86,WG,16,M,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,0,,0,0,0,0,4,2,0,6,10,0,0,10,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,4,0,0,0,0,0,0,0,,,0,,,,,,,,,,,396,3,0,32,32,3
ID_6460121CA797B819,WG,18,M,4,2,0,11,1,0,3,0,0,4,0,0,11,0,0,4,0,0,2,0,0,9,0,0,3,0,0,2,0,0,,0,0,,6,0,0,6,10,1,0,11,12,0,0,12,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,396,4,0,85,85,4
ID_7214E36754E11D54,WG,20,F,4,1,0,4,0,0,1,0,0,3,0,0,3,0,0,3,0,0,1,0,0,4,0,0,2,0,0,0,0,0,,0,0,,3,0,0,3,10,1,0,11,8,0,0,8,4,0,0,4,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,,,0,,,,,,,,,,,396,2,0,54,54,2
ID_937207543159EEE3,WG,20,F,,1,0,5,0,0,2,0,0,4,0,0,5,0,0,5,0,0,3,0,0,4,0,0,5,0,0,2,0,0,,0,0,,3,0,0,3,12,0,0,12,7,0,0,7,6,0,0,6,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,,,0,,,,,,,,,,,396,1,0,,1,1
ID_76E48CC328AA8453,WG,21,F,4,5,0,11,1,0,3,1,0,5,1,0,11,0,0,10,0,0,17,0,0,19,0,0,14,0,0,7,0,0,,0,0,,5,4,0,9,13,0,0,13,38,0,0,38,8,1,0,9,1,0,0,1,0,0,0,0,3,0,0,3,7,0,0,7,5,0,0,5,0,0,0,,,0,,,,,,,,,,,396,13,0,181,181,13
ID_9A2E2C9869AC51A4,WG,22,F,5,2,0,12,0,0,2,0,0,6,0,0,7,0,0,3,0,0,7,0,0,8,0,0,3,0,0,3,0,0,,0,0,,3,0,0,3,10,3,0,13,24,0,0,24,5,1,0,6,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,4,0,0,0,0,0,0,0,,,0,,,,,,,,,,,396,6,0,103,103,6
ID_0D113A28D2A8CE1A,WG,22,F,1,10,0,6,3,16,,0,6,2,1,4,9,3,11,12,2,1,,1,16,6,0,14,8,0,7,9,5,0,,0,0,,3,3,5,11,4,5,4,13,28,3,14,45,11,1,7,19,0,0,0,0,4,0,0,4,2,0,0,2,5,0,0,5,,1,0,1,0,0,0,,,0,,,,,,,,,,,396,38,105,,105,143
