age_m_d,age,comprehension,production,subject_id
26:25,27,150,6,ID_B2F09263B5C48030
35:14,36,255,90,ID_29D9D351E9565B0F
23:0,23,87,43,ID_107800B3B32974B7
32:8,32,174,119,ID_78D00E76A2D232E4
16:17,16,9,2,ID_53D93D04F3C71BB0
39:8,39,133,4,ID_832D5E8F306C8B2B
27:0,27,169,5,ID_BD5390ACFBA9952B
33:12,34,183,7,ID_CC69EC872C8C4203
17:17,18,20,0,ID_AFD9FB5A0ECB6714
11:27,12,26,0,ID_7862855458A82C60
17:26,18,129,0,ID_E7CDE61BCC8D8CC9
15:28,16,0,0,ID_5F06CC861390C8DB
14:2,14,19,1,ID_8FF5CC37F6D9545D
25:14,26,171,27,ID_6BB3EA4FE2F6645D
30:21,30,153,48,ID_1EAE69FEE569FF9F
13:19,14,40,3,ID_3A3E05C1BAFAC3BA
17:22,18,61,8,ID_64BB499A179B4BBD
28:2,28,39,28,ID_1E17B9C3EB74A7A8
32:21,32,117,64,ID_19C056E07ADDE71C
24:29,25,290,115,ID_01F460C8351B56B8
18:18,18,60,8,ID_FD31CE30BC509D89
14:9,14,15,0,ID_3AA58A64AE4C5A77
22:17,22,183,14,ID_903AF88A4ED9E055
14:0,14,5,1,ID_221C9095A0638B38
26:0,26,115,6,ID_3E54020C28051FBF
17:28,18,55,0,ID_4E9DF4C576ABB77C
13:22,14,2,0,ID_C07C553275D6ABCE
