subject_id,area,sex,age,understood,signed,imitated,spoken
ID_3A25B84B20663CA9,South,boy,67,607,107,647,386
ID_E085D176AD4595F1,South,girl,66,717,414,757,664
ID_3880E22026E0E0EA,South,boy,99,455,105,5,436
ID_B870173DD3C7AA82,South,girl,60,654,387,822,399
ID_23728986E36FAF26,South,boy,97,758,431,745,346
ID_074F8B6FB5E7046D,South,boy,67,472,333,244,161
ID_61425604D4FCE66F,South,girl,101,555,1,547,494
ID_E9EF80F9C04D6F24,South,girl,115,676,26,66,18
ID_A451D0314C12D99D,South,boy,77,576,189,539,466
ID_6B28CF6FF8942F6F,South,boy,74,586,23,803,400
ID_A17C25F95C7E14DB,South,girl,61,691,411,507,431
