subject_id,age,understood,spoken
ID_5E7E3643B0CDC72F,40,42,1
ID_3289B6D29A09D159,21,147,8
ID_42A3353A5DF8EFF0,12,14,1
ID_4DD181001B4CA274,62,243,26
ID_FE2DADF860DA1605,39,287,66
ID_E2912354F653DAF6,47,188,15
ID_247612269EA7A68F,68,390,378
ID_6F045019F24EC247,30,52,26
ID_0C12336AA17B8E14,75,390,381
ID_0620D98D3C1B8719,16,,2
ID_28557A3258A4228A,8,0,0
ID_35CA09BE11925BC6,42,215,43
ID_5CAD6C162ADBF5EB,43,375,175
ID_B3CD51F374DCA6EB,65,32,0
ID_951C391139B0FC84,65,222,157
ID_0662B8E5B94503F3,30,38,11
ID_D1EDD2CA11EF9E97,61,70,6
ID_96E2F680C706BC05,69,391,180
ID_47412006644E3C09,27,3,3
ID_C32CC0C0926108DF,43,396,100
ID_0ABE3C7CA97BAE92,19,40,0
ID_6E4D9CF50726B872,70,339,300
ID_E4ED9935A4CB18D0,53,108,9
ID_66FAAB9C56F79C82,48,218,14
ID_FB6F76B7757B7EFA,17,0,0
ID_31D9F4C15111BFCF,9,0,0
