subject_id,timepoint,age,age_months,understood,understood_only,produced,survey_vocab_max
ID_008D6AF133D55EEA,t1,19,18.96,111,111,0,396
ID_01BD591C04F62ABE,t1,23,22.8,106,104,2,396
ID_01BD591C04F62ABE,t2,32,32.04,142,140,2,396
ID_01D29F2525A2CEC6,t1,23,22.8,127,107,20,396
ID_01D29F2525A2CEC6,t2,30,30.24,223,203,20,396
ID_028FE88D557197AD,t1,19,19.2,34,31,3,396
ID_028FE88D557197AD,t2,31,31.2,179,52,127,396
ID_02F48704323A71D3,t1,20,20.16,51,44,7,396
ID_02F48704323A71D3,t2,30,30.48,111,90,21,396
ID_03320E645738506F,t1,22,21.84,111,108,3,396
ID_03FEA747D073F076,t1,21,20.52,35,35,0,396
ID_03FEA747D073F076,t2,31,30.84,80,71,9,396
ID_060778AAF0B7F322,t1,19,18.6,7,7,0,396
ID_0647F75C55D63B04,t1,22,22.2,85,58,27,396
ID_0647F75C55D63B04,t2,31,30.72,86,67,19,396
ID_09519440BCA22B87,t1,22,21.6,3,3,0,396
ID_09519440BCA22B87,t2,30,30.24,1,0,1,396
ID_0A5C0E238DBA6275,t1,21,20.52,53,42,11,396
ID_0A5C0E238DBA6275,t2,32,31.68,204,180,24,396
ID_0A955B2C71A55253,t1,22,21.96,17,17,0,396
ID_0A955B2C71A55253,t2,33,32.64,12,10,2,396
ID_0D0E9AFCF8A94B4B,t1,23,23.28,206,200,6,396
ID_0D0E9AFCF8A94B4B,t2,32,32.04,246,242,4,396
ID_0D47047B79D6CFBE,t1,23,22.68,46,35,11,396
ID_0D47047B79D6CFBE,t2,31,30.72,92,69,23,396
ID_0E490A6D1F9B1F6C,t1,18,18.12,59,57,2,396
ID_0E490A6D1F9B1F6C,t2,33,32.76,468,396,72,396
ID_0FAF1CF577E3C7AA,t1,20,19.8,28,26,2,396
ID_0FAF1CF577E3C7AA,t2,30,30.12,0,0,0,396
ID_102598A41812883D,t1,18,18.24,0,0,0,396
ID_10D00FA2F938424D,t1,21,21.12,78,71,7,396
ID_10D00FA2F938424D,t2,31,31.32,151,107,44,396
ID_119D5AD333AC3C37,t1,20,20.4,125,113,12,396
ID_119D5AD333AC3C37,t2,32,32.16,288,162,126,396
ID_1237368180C37CA7,t1,20,20.28,20,19,1,396
ID_1281976FFF1D016C,t1,21,20.64,12,12,0,396
ID_128E555B80576F2F,t1,23,22.68,6,6,0,396
ID_128E555B80576F2F,t2,34,34.32,14,14,0,396
ID_1437D6C6642897EA,t1,22,22.2,2,2,0,396
ID_144C104CE5183C0B,t1,20,19.56,101,86,15,396
ID_144C104CE5183C0B,t2,32,31.92,211,161,50,396
ID_150FC65D23952C12,t1,70,70.37,306,20,286,396
ID_17BCAD115929560A,t1,20,20.28,11,11,0,396
ID_18462255A35AC4A2,t1,18,18.36,19,19,0,396
ID_18521A73B74C900C,t1,19,19.08,89,86,3,396
ID_18521A73B74C900C,t2,30,30.48,230,225,5,396
ID_1A9B20FDC9C37047,t1,19,18.6,6,6,0,396
ID_1C85119AF9809D77,t1,23,22.92,30,17,13,396
ID_1C85119AF9809D77,t2,33,32.64,40,40,0,396
ID_1E25CDF8792FEC45,t1,20,19.56,29,29,0,396
ID_1E25CDF8792FEC45,t2,30,30.48,90,90,0,396
ID_1EA63423B3E61041,t1,19,18.84,52,50,2,396
ID_1F2ED0CF3F3BA131,t1,19,18.72,141,129,12,396
ID_1F2ED0CF3F3BA131,t2,31,30.72,256,106,150,396
ID_1F2F3B813D030B82,t1,20,20.16,0,0,0,396
ID_208559A7B603E2D5,t1,21,20.76,11,9,2,396
ID_20D82E44DDBC2B10,t1,20,20.4,69,64,5,396
ID_20D82E44DDBC2B10,t2,31,30.96,186,160,26,396
ID_213E4B4047E24492,t1,19,19.44,39,39,0,396
ID_221E752456CA8972,t1,20,20.04,103,100,3,396
ID_228B59106CB57B00,t1,21,21.24,131,118,13,396
ID_228B59106CB57B00,t2,31,30.6,299,219,80,396
ID_22913E3F6B93B6B6,t1,18,18.48,56,48,8,396
ID_22913E3F6B93B6B6,t2,31,31.32,0,0,0,396
ID_22BB80A3B65A454D,t1,21,21.24,12,6,6,396
ID_22BB80A3B65A454D,t2,31,31.44,0,0,0,396
ID_246C3BCBD2704009,t1,19,18.6,163,158,5,396
ID_246C3BCBD2704009,t2,31,30.6,248,227,21,396
ID_25BB106C8EA660CA,t1,21,20.64,29,29,0,396
ID_2851BEE9709915AA,t1,18,18.36,0,0,0,396
ID_2923C8D42E17713B,t1,22,21.96,155,134,21,396
ID_2A9100A49DF1BE94,t1,24,23.76,9,9,0,396
ID_2A9100A49DF1BE94,t2,31,31.2,11,11,0,396
ID_2AA249C122BC12EE,t1,21,21.12,27,20,7,396
ID_2AA249C122BC12EE,t2,33,32.64,185,176,9,396
ID_2BF3C4D7F5756E1E,t1,22,21.6,46,46,0,396
ID_2BF3C4D7F5756E1E,t2,29,29.28,108,86,22,396
ID_2E8C72EB2F6B5300,t1,22,22.32,95,94,1,396
ID_2E8C72EB2F6B5300,t2,31,31.2,241,95,146,396
ID_3067325442CE6884,t1,19,19.08,17,17,0,396
ID_32A8BE4E22350D83,t1,22,21.72,0,0,0,396
ID_32A8BE4E22350D83,t2,30,29.88,54,39,15,396
